['I1', 'I2', 'I12', 'I16', 'I19', 'I18', 'I9'] -> ['I17'] = 100.00%
['I17'] -> ['I1', 'I2', 'I12', 'I16', 'I19', 'I18', 'I9'] = 11.76%
['I1', 'I2', 'I12', 'I16', 'I19', 'I18', 'I17'] -> ['I9'] = 100.00%
['I9'] -> ['I1', 'I2', 'I12', 'I16', 'I19', 'I18', 'I17'] = 8.00%
['I1', 'I2', 'I12', 'I16', 'I19', 'I9', 'I17'] -> ['I18'] = 100.00%
['I18'] -> ['I1', 'I2', 'I12', 'I16', 'I19', 'I9', 'I17'] = 10.00%
['I1', 'I2', 'I12', 'I16', 'I18', 'I9', 'I17'] -> ['I19'] = 100.00%
['I19'] -> ['I1', 'I2', 'I12', 'I16', 'I18', 'I9', 'I17'] = 11.11%
['I1', 'I2', 'I12', 'I19', 'I18', 'I9', 'I17'] -> ['I16'] = 100.00%
['I16'] -> ['I1', 'I2', 'I12', 'I19', 'I18', 'I9', 'I17'] = 4.55%
['I1', 'I2', 'I16', 'I19', 'I18', 'I9', 'I17'] -> ['I12'] = 100.00%
['I12'] -> ['I1', 'I2', 'I16', 'I19', 'I18', 'I9', 'I17'] = 9.09%
['I1', 'I12', 'I16', 'I19', 'I18', 'I9', 'I17'] -> ['I2'] = 100.00%
['I2'] -> ['I1', 'I12', 'I16', 'I19', 'I18', 'I9', 'I17'] = 7.14%
['I2', 'I12', 'I16', 'I19', 'I18', 'I9', 'I17'] -> ['I1'] = 100.00%
['I1'] -> ['I2', 'I12', 'I16', 'I19', 'I18', 'I9', 'I17'] = 7.14%
